Year,Appearence %
1940,5.757065754674606e-09
1941,4.862634156443946e-09
1942,4.052195130369954e-09
1943,4.04457403679892e-09
1944,4.1602081501945776e-09
1945,4.1666546601870635e-09
1946,5.211694714679638e-09
1947,5.17362194751847e-09
1948,5.672654235233665e-09
1949,6.917665662520279e-09
1950,6.90930834768011e-09
1951,6.008610956009797e-09
1952,6.491265983066263e-09
1953,5.1581560134295046e-09
1954,5.808933556394891e-09
1955,6.1876932466731205e-09
1956,5.929428503748113e-09
1957,6.2151036539503934e-09
1958,6.501227875488347e-09
1959,8.830887673894061e-09
1960,1.0032157549133558e-08
1961,1.0188275667566415e-08
1962,1.0281930418187812e-08
1963,1.1670418853526598e-08
1964,1.237999003311785e-08
1965,1.3451706082356908e-08
1966,1.0878489775656419e-08
1967,1.0587980048271106e-08
1968,9.615610530033791e-09
1969,8.87937859350707e-09
1970,7.088355319373463e-09
1971,6.186355178128267e-09
1972,5.819456666555922e-09
1973,5.641134753764376e-09
1974,5.1186118954493764e-09
1975,5.4258466886114576e-09
1976,5.809712710913573e-09
1977,6.187647449973355e-09
1978,6.45514502961575e-09
1979,6.436311206226009e-09
1980,6.858014767185949e-09
1981,7.378622268738866e-09
1982,7.478621055767576e-09
1983,7.464418250169302e-09
1984,7.579019134507092e-09
1985,7.859809747490232e-09
1986,7.789373424049728e-09
1987,7.635117593718377e-09
1988,7.625291231772025e-09
1989,7.366558529842138e-09
1990,7.3320255977726845e-09
1991,7.08700059748324e-09
1992,6.984793798903155e-09
1993,6.91717932932434e-09
1994,6.538244834430885e-09
1995,6.6228895700959364e-09
1996,6.908571492658666e-09
1997,7.3814731549326495e-09
1998,8.089916569975486e-09
1999,8.360953096531176e-09
2000,9.251243271446441e-09
2001,1.0591675536630873e-08
2002,1.1296770296986836e-08
2003,1.2272617921915696e-08
2004,1.2997985576745918e-08
2005,1.3313305236017925e-08
2006,1.5267513475691885e-08
2007,1.6615892439730828e-08
2008,1.815006078764725e-08
2009,2.064538895396595e-08
2010,2.171023294472718e-08
2011,2.3276818472695027e-08
2012,2.5044929241602176e-08
2013,2.5387855373537604e-08
2014,2.4556133570996508e-08
2015,2.360624318242799e-08
2016,2.1795276694547283e-08
2017,2.1576464281913843e-08
2018,2.0965495695079996e-08
2019,1.986557607303041e-08
